0,0
0.25,0
0.4999,0
0.7497,0
0.9994,0
1.249,0
1.4983,0
1.7474,0
1.9963,0
2.245,0
2.4934,0
2.7415,0
2.9894,0
3.237,0
3.4844,0
3.7316,0
3.9786,0
4.2254,0
4.4721,0
4.7185,0
4.9648,0
5.211,0
5.4571,0
5.703,0
5.9488,0
6.1944,0
6.44,0
6.6854,0
6.9308,0
7.176,0
7.4212,0
7.6663,0
7.9113,0
8.1562,0
8.401,0
8.6458,0
8.8905,0
9.1352,0
9.3798,0
9.6244,0
9.8689,0
10.1134,0
10.358,0
10.6026,0
10.8473,0
11.092,0
11.3369,0
11.5818,0
11.8269,0
12.0722,0
12.3175,0
12.5631,0
12.8087,0
13.0545,0
13.3005,0
13.5465,0
13.7928,0
14.0391,0
14.2855,0
14.5321,0
14.7788,0
15.0256,0
15.2725,0
15.5195,0
15.7666,0
16.0138,0
16.2611,0
16.5085,0
16.756,0
17.0036,0
17.2513,0
17.499,0
17.7468,0
17.9947,0
18.2427,0
18.4908,0
18.7389,0
18.9871,0
19.2353,0
19.4837,0
19.7321,0
19.9805,0
20.229,0
20.4776,0
20.7262,0
20.9748,0
21.2235,0
21.4723,0
21.7211,0
21.9699,0
22.2188,0
22.4678,0
22.7167,0
22.9657,0
23.2148,0
23.4639,0
23.713,0
23.9621,0
24.2113,0
24.4605,0
24.7098,0
24.959,0
25.2083,0
25.4577,0
25.707,0
25.9564,0
26.2058,0
26.4552,0
26.7047,0
26.9541,0
27.2036,0
27.4531,0
27.7026,0
27.9522,0
28.2017,0
28.4513,0
28.7009,0
28.9505,0
29.2001,0
29.4498,0
29.6994,0
29.9491,0
30.1988,0
30.4484,0
30.6981,0
30.9479,0
31.1976,0
31.4473,0
31.6971,0
31.9468,0
32.1966,0
32.4464,0
32.6961,0
32.9459,0
33.1957,0
33.4455,0
33.6953,0
33.9452,0
34.195,0
34.4448,0
34.6947,0
34.9445,0
35.1944,0
35.4442,0
35.6941,0
35.944,0
36.1938,0
36.4437,0
36.6936,0
36.9435,0
37.1934,0
37.4433,0
37.6932,0
37.9431,0
38.193,0
38.4429,0
38.6928,0
38.9427,0
39.1927,0
39.4426,0
39.6925,0
39.9424,0
40.1924,0
40.4423,0
40.6922,0
40.9422,0
41.1921,0
41.4421,0
41.692,0
41.942,0
42.1919,0
42.4419,0
42.6918,0
42.9418,0
43.1917,0
43.4417,0
43.6917,0
43.9416,0
44.1916,0
44.4416,0
44.6915,0
44.9415,0
45.1915,0
45.4414,0
45.6914,0
45.9414,0
46.1914,0
46.4413,0
46.6913,0
46.9413,0
47.1913,0
47.4412,0
47.6912,0
47.9412,0
48.1912,0
48.4412,0
48.6912,0
48.9411,0
49.1911,0
49.4411,0
49.6911,0
49.9411,0
50.1911,0
50.441,0
50.691,0
50.941,0
51.191,0
51.441,0
51.691,0
51.941,0
52.191,0
52.441,0
52.6909,0
52.9409,0
53.1909,0
53.4409,0
53.6909,0
53.9409,0
54.1909,0
54.4409,0
54.6909,0
54.9409,0
55.1909,0
55.4409,0
55.6909,0
55.9409,0
56.1909,0
56.4408,0
56.6908,0
56.9408,0
57.1908,0
57.4408,0
57.6908,0
57.9408,0
58.1908,0
58.4408,0
58.6908,0
58.9408,0
59.1908,0
59.4408,0
59.6908,0
59.9408,0
60.1908,-0.0001
60.4408,-0.0004
60.6908,-0.0008
60.9408,-0.0014
61.1908,-0.0022
61.4408,-0.003
61.6908,-0.0038
61.9408,-0.0046
62.1908,-0.0054
62.4408,-0.0061
62.6908,-0.0067
62.9408,-0.0071
63.1908,-0.0074
63.4408,-0.0074
63.6908,-0.0071
63.9408,-0.0066
64.1908,-0.0057
64.4408,-0.0044
64.6908,-0.0027
64.9408,-0.0006
65.1908,0.0017
65.4408,0.0034
65.6907,0.0046
65.9407,0.0055
66.1907,0.0061
66.4407,0.0068
66.6907,0.0075
66.9407,0.0086
67.1906,0.01
67.4407,0.012
67.6907,0.0147
67.9407,0.0183
68.1908,0.0229
68.4409,0.0286
68.691,0.0357
68.9412,0.0442
69.1913,0.0544
69.4415,0.0663
69.6916,0.0801
69.9416,0.096
70.1914,0.1138
70.441,0.1328
